Time taken by parallel program: 10179635 microseconds
) 1201717(0.210257)
961894(0.144056) 1693948(0.189208)
1201717(0.210257) 1972835(0.337847)
1693948(0.189208) 1972835(0.337847)
965646(0.273043) 763682(0.415056)
700635(0.606041) 128353(0.690874)
700635(0.606041) 1045583(0.677308)
700635(0.606041) 1330563(0.711864)
388313(0.762978) 780234(0.910245)
388313(0.762978) 1578376(0.84727)
1122482(0.832075) 150083(0.993773)
1122482(0.832075) 780234(0.910245)
1122482(0.832075) 1578376(0.84727)
1555628(0.810336) 780234(0.910245)
1555628(0.810336) 1578376(0.84727)
260592(0.161156) 490250(0.278206)
490250(0.278206) 222372(0.434789)
1578101(0.728319) 1916617(0.841227)
505170(0.428667) 263357(0.505148)
1549921(0.468934) 263357(0.505148)
1595700(0.362712) 263357(0.505148)
1367402(0.140649) 314265(0.279551)
1377738(0.822134) 746106(0.85707)
1377738(0.822134) 1213386(0.882446)
1377738(0.822134) 1313486(0.977386)
1377738(0.822134) 1775133(0.857848)
1960294(0.0829811) 1055813(0.218446)
1055813(0.218446) 5002(0.378446)
163050(0.803254) 303589(0.897796)
163050(0.803254) 1240072(0.932536)
87279(0.48442) 1383323(0.570055)
1838135(0.315871) 269553(0.444794)
1838135(0.315871) 1825237(0.394656)
795482(0.831971) 1247681(0.876552)
779337(0.478991) 515094(0.514687)
1343179(0.48033) 319975(0.574935)
1343179(0.48033) 933683(0.63809)
1343179(0.48033) 1205063(0.501613)
1343179(0.48033) 1280543(0.604473)
319975(0.574935) 912452(0.732748)
933683(0.63809) 912452(0.732748)
1280543(0.604473) 912452(0.732748)
912452(0.732748) 285678(0.883046)
89223(0.256723) 22390(0.345041)
1859951(0.645169) 90868(0.709858)
1859951(0.645169) 1938398(0.725195)
294841(0.790373) 717007(0.897675)
1843748(0.479618) 733611(0.606951)
1843748(0.479618) 1602121(0.612239)
203491(0.140283) 615844(0.172349)
203491(0.140283) 1690623(0.228601)
917725(0.0634125) 615844(0.172349)
1156976(0.317757) 144739(0.377892)
1690623(0.228601) 144739(0.377892)
1255604(0.795664) 295924(0.921412)
1255604(0.795664) 1682438(0.925491)
1508392(0.804106) 295924(0.921412)
1508392(0.804106) 1682438(0.925491)
392631(0.051301) 5519(0.176189)
839157(0.026724) 5519(0.176189)
1807112(0.327099) 1544212(0.388105)
1400267(0.599383) 690532(0.732279)
1715244(0.645639) 690532(0.732279)
1827487(0.660107) 690532(0.732279)
300021(0.315107) 287657(0.455173)
300021(0.315107) 1114881(0.355968)
1413163(0.273378) 1114881(0.355968)
1524979(0.649822) 214990(0.68266)
590931(0.820049) 1862391(0.915701)
1616841(0.153976) 1034510(0.184944)
1616841(0.153976) 1081429(0.21225)
1616841(0.153976) 1769416(0.232926)
1081429(0.21225) 100701(0.365833)
1769416(0.232926) 100701(0.365833)
320305(0.602757) 1981799(0.679878)
1332697(0.597018) 1981799(0.679878)
1617688(0.665775) 1981799(0.679878)
1981799(0.679878) 134155(0.836066)
175728(0.212037) 1493118(0.340587)
456212(0.283337) 1493118(0.340587)
1405107(0.288522) 1455619(0.448639)
1405107(0.288522) 1493118(0.340587)
1164377(0.0492915) 646766(0.198495)
1255418(0.111956) 646766(0.198495)
1112966(0.106332) 1548121(0.179391)
228586(0.319958) 623316(0.480021)
228586(0.319958) 732563(0.461784)
623316(0.480021) 1444187(0.547771)
732563(0.461784) 1444187(0.547771)
1777142(0.0954354) 893784(0.246365)
1943086(0.102818) 893784(0.246365)
893784(0.246365) 909699(0.398071)
893784(0.246365) 1003321(0.40658)
1767314(0.205077) 729615(0.357781)
1937671(0.268347) 729615(0.357781)
1668060(0.464723) 769760(0.579833)
769760(0.579833) 400148(0.72573)
400148(0.72573) 1016062(0.847389)
1508758(0.806069) 1016062(0.847389)
1508758(0.806069) 1816097(0.961009)
274412(0.100124) 808734(0.253316)
384995(0.139732) 808734(0.253316)
789740(0.127394) 808734(0.253316)
808734(0.253316) 994105(0.361548)
808734(0.253316) 1706141(0.3691)
994105(0.361548) 1436285(0.515029)
1015916(0.426884) 1436285(0.515029)
1706141(0.3691) 1436285(0.515029)
1376448(0.661122) 1435342(0.792923)
1435342(0.792923) 344156(0.850622)
15745(0.061007) 7048(0.181983)
574959(0.110599) 7048(0.181983)
1151646(0.0916009) 7048(0.181983)
76344(0.259108) 683860(0.391738)
179773(0.29837) 683860(0.391738)
569341(0.313018) 224660(0.38978)
569341(0.313018) 795344(0.406747)
569341(0.313018) 1872381(0.38101)
1140784(0.268909) 224660(0.38978)
1140784(0.268909) 795344(0.406747)
1140784(0.268909) 1872381(0.38101)
70781(0.604077) 1161847(0.75964)
1161847(0.75964) 641518(0.893863)
1161847(0.75964) 792556(0.84458)
467401(0.809285) 54226(0.94124)
696893(0.808985) 54226(0.94124)
952437(0.252391) 104200(0.404826)
952437(0.252391) 848406(0.351084)
1391414(0.256773) 104200(0.404826)
1391414(0.256773) 848406(0.351084)
503507(0.149916) 1141292(0.280399)
503507(0.149916) 1412410(0.21095)
1299089(0.148079) 1141292(0.280399)
1299089(0.148079) 1412410(0.21095)
1141292(0.280399) 1603085(0.341026)
1412410(0.21095) 1603085(0.341026)
46538(0.487356) 1613086(0.52684)
1774591(0.16583) 1390834(0.302145)
1390834(0.302145) 1463172(0.438955)
1463172(0.438955) 1134369(0.5867)
445212(0.467085) 1771016(0.577284)
1250502(0.288351) 315004(0.444367)
315004(0.444367) 142003(0.556118)
315004(0.444367) 319658(0.523036)
315004(0.444367) 1926028(0.561511)
142003(0.556118) 321895(0.683886)
319658(0.523036) 321895(0.683886)
1926028(0.561511) 321895(0.683886)
1928108(0.42599) 1091376(0.524657)
1928108(0.42599) 1793814(0.527653)
1742138(0.317724) 759564(0.45793)
1742138(0.317724) 1006480(0.339719)
1889449(0.216626) 1006480(0.339719)
1526485(0.13309) 946296(0.214244)
1198528(0.41447) 85641(0.570705)
1903754(0.419822) 1594729(0.539873)
1594729(0.539873) 486951(0.687683)
12500(0.116831) 1915388(0.184279)
394604(0.316722) 318363(0.430228)
318363(0.430228) 331036(0.538048)
331036(0.538048) 1646674(0.684859)
1127887(0.655749) 1646674(0.684859)
1346267(0.59466) 1646674(0.684859)
1767506(0.472636) 1967111(0.599284)
1967111(0.599284) 444909(0.739371)
1269899(0.472305) 1764477(0.622778)
1623649(0.810968) 1581716(0.908232)
18738(0.0318433) 941509(0.190375)
991476(0.158875) 395218(0.249515)
991476(0.158875) 941509(0.190375)
395218(0.249515) 1141146(0.401701)
395218(0.249515) 1819021(0.341857)
941509(0.190375) 1819021(0.341857)
1493003(0.587103) 1357690(0.746649)
563290(0.826034) 4007(0.987085)
563290(0.826034) 802515(0.94248)
156498(0.155457) 51492(0.177623)
156498(0.155457) 1494140(0.21729)
1018426(0.126426) 51492(0.177623)
1018426(0.126426) 1494140(0.21729)
1046452(0.150982) 51492(0.177623)
1046452(0.150982) 1494140(0.21729)
1328264(0.786206) 1858732(0.904432)
1328264(0.786206) 1871596(0.938016)
1423255(0.823171) 1277845(0.906049)
741778(0.158172) 1482198(0.228154)
58437(0.802103) 255318(0.877682)
58437(0.802103) 1543788(0.899146)
464322(0.724895) 255318(0.877682)
1010223(0.720457) 255318(0.877682)
1214132(0.71729) 1177816(0.848023)
1239266(0.793271) 1177816(0.848023)
80529(0.213717) 619479(0.341622)
577148(0.538454) 798680(0.685144)
1698637(0.580824) 798680(0.685144)
1698637(0.580824) 1792972(0.737765)
1976061(0.145684) 1885846(0.203528)
25457(0.595255) 799747(0.679764)
1930119(0.533192) 799747(0.679764)
16399(0.154407) 996916(0.203484)
1451476(0.484691) 984273(0.581896)
1451476(0.484691) 1278528(0.638623)
984273(0.581896) 820492(0.693695)
984273(0.581896) 1458729(0.668052)
1278528(0.638623) 671359(0.797227)
1278528(0.638623) 820492(0.693695)
1278528(0.638623) 1458729(0.668052)
671359(0.797227) 491556(0.903478)
671359(0.797227) 923604(0.897009)
1285728(0.810883) 1963996(0.955095)
1523178(0.329884) 638591(0.448509)
638591(0.448509) 449722(0.560152)
638591(0.448509) 1727928(0.547909)
449722(0.560152) 1526808(0.674974)
1727928(0.547909) 1526808(0.674974)
82250(0.0303811) 1715333(0.171368)
1530947(0.472278) 1658241(0.551827)
537085(0.109404) 807388(0.180726)
785276(0.129849) 807388(0.180726)
1755836(0.305267) 1899970(0.42663)
1915788(0.275172) 1899970(0.42663)
1899970(0.42663) 289153(0.567766)
1899970(0.42663) 947544(0.534206)
772889(0.600606) 1278850(0.761709)
421080(0.459871) 58312(0.531219)
58312(0.531219) 1254431(0.689629)
371695(0.288184) 558857(0.34335)
371695(0.288184) 1223522(0.384696)
423199(0.29991) 558857(0.34335)
423199(0.29991) 1223522(0.384696)
855801(0.80426) 524679(0.904689)
1925966(0.0780227) 17937(0.214931)
858369(0.391644) 1200470(0.552151)
970718(0.438023) 1200470(0.552151)
656809(0.143566) 181315(0.275406)
656809(0.143566) 1360643(0.21941)
181315(0.275406) 47421(0.360169)
1360643(0.21941) 47421(0.360169)
1043241(0.478308) 303292(0.640134)
1885033(0.48782) 115574(0.638639)
1885033(0.48782) 116167(0.620198)
1885033(0.48782) 1656273(0.605488)
115574(0.638639) 1515080(0.700463)
116167(0.620198) 1515080(0.700463)
1656273(0.605488) 1515080(0.700463)
695753(0.111886) 138342(0.221833)
887938(0.118211) 605690(0.206437)
1343231(0.112396) 605690(0.206437)
1814369(0.149492) 605690(0.206437)
739921(0.402487) 1989235(0.551301)
1012779(0.480654) 1989235(0.551301)
295506(0.730873) 1342324(0.835203)
473814(0.797562) 1342324(0.835203)
1452820(0.764873) 1342324(0.835203)
1495152(0.471136) 1420998(0.551851)
1420998(0.551851) 1223026(0.691282)
1780060(0.31725) 1466619(0.441087)
953072(0.0924431) 287899(0.180152)
1032624(0.399235) 271520(0.505249)
1032624(0.399235) 666224(0.505257)
1032624(0.399235) 1694879(0.548309)
1726452(0.394859) 271520(0.505249)
1726452(0.394859) 666224(0.505257)
1726452(0.394859) 1694879(0.548309)
54606(0.294945) 90892(0.396399)
54606(0.294945) 1513269(0.438589)
823181(0.480645) 332040(0.596608)
1513269(0.438589) 332040(0.596608)
332040(0.596608) 663957(0.737186)
332040(0.596608) 950193(0.723669)
1433205(0.133428) 1719464(0.274346)
1429877(0.315191) 710576(0.406761)
1719464(0.274346) 710576(0.406761)
683477(0.604608) 921769(0.760555)
921769(0.760555) 1320364(0.864391)
1659065(0.655059) 965771(0.773591)
267276(0.465326) 1469484(0.525205)
267276(0.465326) 1657447(0.525882)
890030(0.450492) 1469484(0.525205)
890030(0.450492) 1657447(0.525882)
1727739(0.492141) 1469484(0.525205)
1727739(0.492141) 1657447(0.525882)
1170419(0.492151) 855415(0.585405)
1170419(0.492151) 1826519(0.516818)
855415(0.585405) 552444(0.671165)
1826519(0.516818) 552444(0.671165)
